WO,Value,Date,Contractor,GL Account
80010760,0.00,03/01/2018,,
70005062,390.00,03/01/2017,,2699599215
70005062,95.00,03/01/2017,,2699599215
70004978,603.90,03/01/2017,,2699599215
70005003,6.75,05/01/2018,,2699599215
80011939,96.00,02/01/2019,,2699599215
80011941,84.25,14/01/2019,,2699599215
80011948,0.00,14/01/2019,,
80011948,6.74,14/01/2019,,2699599215
80011948,5.13,14/01/2019,,2699599215
80011956,2978.86,13/01/2019,,2699599215
70004978,8.55,05/01/2017,,2699599215
70004978,6.57,05/01/2017,,2699599215
70004978,8.05,05/01/2017,,2699599215
80011128,0.00,12/01/2018,,
70004978,120.00,09/01/2017,,2699599215
80011128,53.58,09/01/2018,,2699599215
80010763,0.00,09/01/2018,,
70005076,6.57,01/01/2017,,2699599215
80007586,3.29,01/01/2017,,2699599215
70004978,0.00,09/01/2017,,
70004978,8.67,09/01/2017,,2699599215
70005060,266.70,09/01/2017,,2699599215
70005060,0.00,09/01/2017,,
70004978,6.57,01/01/2017,,2699599215
80010763,226.76,09/01/2018,,2699559215
80010763,125.00,09/01/2018,,2699559215
70005003,-6.75,05/01/2018,,2699599215
80010763,0.00,09/01/2018,,
80010763,-226.76,09/01/2018,,2699559215
80010763,-125.00,09/01/2018,,2699559215
80011939,5381.30,03/01/2019,,2699599215
80011940,0.00,10/01/2019,,
80011943,0.00,11/01/2019,,
80011941,791.09,10/01/2019,,2699599215
80011938,139.90,09/01/2019,,2699599215
80011938,0.00,09/01/2019,,
80011938,60.00,09/01/2019,,2699599215
80011938,0.00,09/01/2019,,
80011938,0.00,09/01/2019,,
70004995,390.92,12/01/2017,,2699599215
70004978,0.00,12/01/2017,,
70004978,0.00,11/01/2017,,
70004978,10.80,12/01/2017,,2699599215
80011944,6.75,15/01/2019,,2699599215
80011944,4.49,15/01/2019,,2699599215
80011948,0.00,15/01/2019,,
80011948,6.75,15/01/2019,,2699599215
80011951,4.80,15/01/2019,,2699599215
80011128,27.00,12/01/2018,,2699599215
70004978,7.22,13/01/2017,,2699599215
70004978,4.14,13/01/2017,,2699599215
80011128,133.95,15/01/2018,,2699599215
70004978,70.00,13/01/2017,,2699599215
70004978,16.20,13/01/2017,,2699599215
70005180,0.00,19/01/2018,,
80011936,2724.00,16/01/2019,,2699549215
80011936,4123.40,16/01/2019,,2699549215
80011936,2904.18,16/01/2019,,2699549215
80011936,357.00,16/01/2019,,2699549215
80011936,617.50,16/01/2019,,2699549215
80011936,1274.79,16/01/2019,,2699549215
80011936,139.93,16/01/2019,,2699549215
80011936,780.00,16/01/2019,,2699549215
80011936,166.65,16/01/2019,,2699549215
80011936,0.00,16/01/2019,,
80011936,0.00,16/01/2019,,
80011936,196.00,16/01/2019,,2699549215
80011936,0.00,16/01/2019,,
80011953,0.00,16/01/2019,,
80011944,4.77,17/01/2019,,2699599215
80011944,8.99,17/01/2019,,2699599215
80011944,4.77,17/01/2019,,2699599215
80011952,37.80,16/01/2019,,2699599215
80011948,6.56,16/01/2019,,2699599215
80011947,6.74,15/01/2019,,2699599215
80011947,2.10,15/01/2019,,2699599215
80011948,6.56,17/01/2019,,2699599215
80011961,0.00,17/01/2019,,
80011947,8.99,18/01/2019,,2699599215
80011947,10.62,18/01/2019,,2699599215
80011947,10.80,18/01/2019,,2699599215
80011951,3.28,16/01/2019,,2699599215
80011951,0.00,16/01/2019,,
80011951,6.56,16/01/2019,,2699599215
70004107,3.29,09/01/2014,,2699599215
80011951,3.28,16/01/2019,,2699599215
70005180,44.45,16/01/2018,,2699599215
70005180,0.00,16/01/2018,,
70005076,16.73,16/01/2017,,2699599215
80011952,5.13,18/01/2019,,2699599215
80011947,4.49,18/01/2019,,2699599215
70005180,0.00,18/01/2018,,
70005180,0.00,18/01/2018,,
70004107,15.75,16/01/2014,,2699599215
80011952,16.20,21/01/2019,,2699599215
80007586,-3.29,01/01/2017,,2699599215
70005180,112.50,25/01/2018,,2699599215
70005076,172.21,23/01/2017,,2699599215
70005076,22.37,23/01/2017,,2699599215
80011951,2.05,23/01/2019,,2699599215
80011984,138.61,23/01/2019,,2699599215
80011948,173.54,23/01/2019,,2699599215
80011948,11.24,23/01/2019,,2699599215
80011951,5.13,22/01/2019,,2699599215
80011951,2.25,22/01/2019,,2699599215
80011951,14.40,22/01/2019,,2699599215
80011976,10.62,23/01/2019,,2699599215
80011952,17.98,23/01/2019,,2699599215
80011952,10.62,23/01/2019,,2699599215
80011984,6.75,23/01/2019,,2699599215
80011984,8.38,23/01/2019,,2699599215
80011989,6.16,25/01/2019,,2699599215
80011989,13.48,25/01/2019,,2699599215
80011992,9.54,25/01/2019,,2699599215
80011987,161.54,25/01/2019,,2699599215
80011987,14.31,25/01/2019,,2699599215
80011950,3.28,18/01/2019,,2699599215
80011951,3.28,22/01/2019,,2699599215
80011992,3.28,24/01/2019,,2699599215
80011962,1000.00,24/01/2019,,2699599215
80011962,0.00,24/01/2019,,
80011992,0.00,24/01/2019,,
80011989,4.50,24/01/2019,,2699599215
80011988,0.00,24/01/2019,,
80011988,5.13,24/01/2019,,2699599215
80011988,2.10,24/01/2019,,2699599215
80011988,53.58,24/01/2019,,2699599215
80011992,0.00,24/01/2019,,
80011991,97.68,24/01/2019,,2699599215
80011990,3.08,24/01/2019,,2699599215
80011990,0.00,25/01/2019,,
80011989,0.00,25/01/2019,,
80011989,3.28,25/01/2019,,2699599215
80011992,15.75,25/01/2019,,2699599215
80011992,4.20,28/01/2019,,2699599215
80011995,0.00,22/01/2019,,
80011995,0.00,22/01/2019,,
80011988,5.13,28/01/2019,,2699599215
80011992,5.31,28/01/2019,,2699599215
80011992,4.11,28/01/2019,,2699599215
70005077,0.00,25/01/2017,,
70005077,0.00,25/01/2017,,
70005077,269.56,25/01/2017,,2699599215
70005077,46.07,25/01/2017,,2699599215
80011988,5.13,29/01/2019,,2699599215
80011988,2.10,29/01/2019,,2699599215
80011996,0.00,29/01/2019,,
80011996,0.00,29/01/2019,,
80011994,6.75,29/01/2019,,2699599215
80011994,5.40,29/01/2019,,2699599215
80011996,12.60,29/01/2019,,2699599215
80011996,112.50,29/01/2019,,2699599215
80011996,0.00,29/01/2019,,
80011988,5.13,29/01/2019,,2699599215
80011988,0.00,29/01/2019,,
80011988,4.50,29/01/2019,,2699599215
80011988,3.28,29/01/2019,,2699599215
80012001,4.50,30/01/2019,,2699599215
80012001,3.28,30/01/2019,,2699599215
80011988,5.13,30/01/2019,,2699599215
80012007,2978.85,31/01/2019,,2699599215
80012004,32.90,31/01/2019,,2699599215
80012003,10.80,31/01/2019,,2699599215
80011146,1005.72,26/01/2018,,2699599215
80012003,0.00,31/01/2019,,
80012003,2.25,31/01/2019,,2699599215
80012003,3.28,31/01/2019,,2699599215
80012013,35.69,01/02/2019,,2699599215
80011995,0.00,01/02/2019,,
80012013,9.00,01/02/2019,,2699599215
80012030,669.73,06/02/2019,,2699599215
80012032,106.82,06/02/2019,,2699599215
80012018,560.00,06/02/2019,,2699599215
70005077,0.00,26/01/2017,,
70005077,0.00,26/01/2017,,
70004995,63.72,27/01/2017,,2699599215
70005077,44.45,27/01/2017,,2699599215
70005077,0.00,27/01/2017,,
70005077,0.00,27/01/2017,,
70004107,0.00,27/01/2014,,
70004107,13.00,27/01/2014,,2699599215
70004107,86.80,27/01/2014,,2699599215
70004978,18.93,30/01/2017,,2699599215
70005077,0.00,30/01/2017,,
70005077,0.00,30/01/2017,,
70005077,0.00,30/01/2017,,
70005077,0.00,30/01/2017,,
70005077,0.00,30/01/2017,,
70004107,4.14,28/01/2014,,2699599215
70003906,19.38,31/01/2013,,2599579215
70003906,73.64,31/01/2013,,2599579215
70004995,10.35,31/01/2017,,2699599215
70004995,6.56,31/01/2017,,2699599215
70005077,20.71,31/01/2017,,2699599215
70005077,13.03,31/01/2017,,2699599215
70004978,117.60,20/01/2017,,2699549215
80011995,4.50,04/02/2019,,2699599215
80011995,3.28,04/02/2019,,2699599215
80011995,6.16,05/02/2019,,2699599215
80011995,6.29,05/02/2019,,2699599215
80012011,5.31,05/02/2019,,2699599215
80012011,6.56,05/02/2019,,2699599215
80012022,0.00,05/02/2019,,
80011988,0.00,05/02/2019,,
70005077,0.00,01/02/2017,,
70004107,16.04,31/01/2014,,2699599215
70004107,10.62,31/01/2014,,2699599215
70004107,0.00,31/01/2014,,
70004107,26.73,04/02/2014,,2699599215
70004107,7.38,04/02/2014,,2699599215
70004107,25.20,04/02/2014,,2699599215
70004107,21.38,05/02/2014,,2699599215
70004107,5.90,05/02/2014,,2699599215
70004107,0.00,05/02/2014,,
70004107,86.80,05/02/2014,,2699599215
70004107,8.64,05/02/2014,,2699599215
70004107,0.00,05/02/2014,,
70004107,35.01,07/02/2014,,2699599215
70004107,8.43,07/02/2014,,2699599215
70004107,32.41,07/02/2014,,2699599215
70004107,35.02,10/02/2014,,2699599215
70004107,7.38,10/02/2014,,2699599215
70004107,26.73,10/02/2014,,2699599215
70004107,0.00,10/02/2014,,
70004107,8.28,10/02/2014,,2699599215
70004107,5.76,10/02/2014,,2699599215
70004107,8.43,10/02/2014,,2699599215
70004107,10.32,10/02/2014,,2699599215
70004107,13.14,10/02/2014,,2699599215
70004107,10.62,10/02/2014,,2699599215
70004107,21.61,10/02/2014,,2699599215
70004107,6.57,10/02/2014,,2699599215
70004107,10.80,11/02/2014,,2699599215
70004107,170.00,11/02/2014,,2699599215
70004107,22.50,11/02/2014,,2699599215
70004107,6.57,11/02/2014,,2699599215
70004995,113.83,02/02/2017,,2699599215
80011988,6.75,05/02/2019,,2699599215
80011988,4.77,05/02/2019,,2699599215
80012013,10.80,06/02/2019,,2699599215
80012011,6.80,06/02/2019,,2699599215
70005080,4.90,06/02/2017,,2699599215
70004107,10.08,12/02/2014,,2699599215
70004107,6.57,12/02/2014,,2699599215
80012013,10.80,08/02/2019,,2699599215
80012036,0.00,08/02/2019,,
80012040,0.00,08/02/2019,,
80012025,49035.18,08/02/2019,,2699549215
80012025,46581.17,08/02/2019,,2699549215
80012025,603.93,08/02/2019,,2699549215
80012025,392.90,08/02/2019,,2699549215
80012025,1250.00,08/02/2019,,2699549215
80012025,0.00,08/02/2019,,
80012025,114.00,08/02/2019,,2699549215
80012025,140.56,08/02/2019,,2699549215
80012025,389.00,08/02/2019,,2699549215
80012025,139.92,08/02/2019,,2699549215
80012025,277.50,08/02/2019,,2699549215
80012025,0.00,08/02/2019,,
80012025,195.00,08/02/2019,,2699549215
80012025,55.55,08/02/2019,,2699549215
80012025,0.00,08/02/2019,,
80012040,6.56,08/02/2019,,2699599215
80011991,2652.00,07/02/2019,,2699599215
80011991,4.77,07/02/2019,,2699599215
80012013,9.45,07/02/2019,,2699599215
80012013,4.77,11/02/2019,,2699599215
70004107,603.33,14/02/2014,,2699599215
80012044,112.50,11/02/2019,,2699599215
80012044,0.00,11/02/2019,,
80012044,0.00,11/02/2019,,
80012044,75.00,11/02/2019,,2699599215
80012044,0.00,11/02/2019,,
80012044,13.12,11/02/2019,,2699599215
80012043,0.00,11/02/2019,,
80012013,10.80,11/02/2019,,2699599215
80012019,6.56,12/02/2019,,2699599215
80012019,5.31,12/02/2019,,2699599215
80012050,16.20,12/02/2019,,2699599215
80012019,39.20,12/02/2019,,2699599215
80012019,0.00,12/02/2019,,
80012049,10.62,12/02/2019,,2699599215
80012050,7.84,12/02/2019,,2699599215
80012050,13.12,12/02/2019,,2699599215
80012049,9.00,12/02/2019,,2699599215
80012018,78.41,12/02/2019,,2699599215
80012018,55.69,12/02/2019,,2699599215
80012018,266.43,12/02/2019,,2699599215
80012018,322.95,12/02/2019,,2699599215
80012018,31.65,12/02/2019,,2699599215
80012018,720.78,12/02/2019,,2699599215
80012052,0.00,12/02/2019,,
