WO,Date,MatCode,Value,Contractor,GL.Account
70005210,01/02/18,11206939,22.1,,2699599215
80011099,01/02/18,91101927,0,,
80011099,01/02/18,11200021,120,,2699599215
80011107,01/02/18,91101930,0,,
80011928,12/20/18,11207385,-5.9,,2699599215
80011097,01/02/18,11207385,8.2,,2699599215
80011926,12/21/18,11207213,-13.6,,2699599215
80011097,01/02/18,11200155,23.8,,2699599215
80011097,01/02/18,11200206,52.5,,2699599215
80011926,12/21/18,11207213,13.6,,2699599215
80011097,01/02/18,91100107,0,,
80011097,01/02/18,91100114,0,,
80011928,12/20/18,11207385,5.9,,2699599215
80011926,12/21/18,11207213,-13.6,,2699599215
70004474,01/02/15,11206908,10.7,,2699599215
70004462,01/02/15,11206903,2.3,,2699599215
70004503,01/02/15,11206942,45.5,,2699599215
70004503,01/02/15,11206913,5.9,,2699599215
80011102,01/03/18,11205536,289.7,,2699599215
70004505,01/07/15,11207546,33.4,,2699599215
70004505,01/07/15,11206942,26,,2699599215
70004505,01/07/15,11206913,9.8,,2699599215
80011097,01/03/18,11206908,10.8,,2699599215
80011106,01/03/18,11206908,10.8,,2699599215
80007026,01/05/16,11206903,4.5,,2699599215
80007024,01/05/16,11206908,43.2,,2699599215
80011100,01/04/18,91100462,0,,
80011100,01/04/18,11206904,6.6,,2699599215
80007027,01/05/16,11206908,21.6,,2699599215
80007027,01/05/16,11206903,9,,2699599215
80011100,01/04/18,91100625,0,,
80007027,01/05/16,11206947,9.3,,2699599215
80007026,01/05/16,11207385,11.5,,2699599215
80007026,01/05/16,11206935,8.2,,2699599215
80007026,01/05/16,11206933,28.6,,2699599215
80011127,01/05/18,11202988,225,,2699599215
80007025,01/05/16,11207385,14.4,,2699599215
80007025,01/05/16,11207001,44.6,,2699599215
70005218,01/05/18,11202988,112.5,,2699599215
80007025,01/05/16,11201409,156.6,,2699599215
80007025,01/05/16,11200021,117,,2699599215
80007026,01/05/16,11207231,1080,,2699599215
80007025,01/05/16,11200021,117,,2699599215
80007023,01/05/16,11207235,1053,,2699599215
80007027,01/05/16,11206908,10.8,,2699599215
80007027,01/05/16,11207001,35.7,,2699599215
80007027,01/05/16,91101932,0,,
70004451,01/12/15,91100230,0,,
70004664,01/07/16,11206904,6.6,,2699599215
70004664,01/07/16,11206907,4.8,,2699599215
70004664,01/07/16,11206918,4.5,,2699599215
70004456,01/12/15,11206919,9.9,,2699599215
70004456,01/12/15,11206903,4.5,,2699599215
70004664,01/07/16,11206939,13.6,,2699599215
70004664,01/07/16,11206903,2.3,,2699599215
70004664,01/07/16,11206918,4.5,,2699599215
70004504,01/12/15,11206913,7.8,,2699599215
80007025,01/07/16,11200021,117,,2699599215
80007025,01/07/16,11206903,9,,2699599215
70004450,01/12/15,11203214,30.4,,2699599215
80007023,01/07/16,11205208,240,,2699599215
70004461,01/12/15,11206903,18,,2699599215
80007025,01/07/16,11202867,26.4,,2699569215
70004450,01/12/15,11206913,5.9,,2699599215
70004450,01/12/15,11206942,19.5,,2699599215
70004450,01/12/15,11206939,19.2,,2699599215
80007024,01/07/16,91101931,0,,
80007024,01/07/16,11207385,5.8,,2699599215
70004451,01/12/15,11206904,9.9,,2699599215
70004451,01/12/15,11206905,5.3,,2699599215
70004798,01/07/16,11206907,4.8,,2699599215
70004798,01/07/16,11206903,4.5,,2699599215
70004450,01/12/15,91100230,0,,
70004450,01/12/15,11205235,278.8,,2699599215
70004798,01/07/16,11200724,89,,2699599215
70004798,01/07/16,91101358,0,,
80006624,01/12/15,11207262,1202,,2699599215
80007023,01/07/16,11206903,9,,2699599215
80006626,01/12/15,11207265,1294,,2699599215
70004676,01/07/16,11206903,6.8,,2699599215
70004676,01/07/16,11206918,9.1,,2699599215
70004798,01/07/16,11200778,187.5,,2699599215
80007026,01/08/16,11200529,7207,,2699599215
80007026,01/08/16,11200532,6015.1,,2699599215
80007025,01/07/16,91101846,0,,
80007025,01/07/16,91101849,0,,
70004503,01/02/15,11206942,19.5,,2699599215
70004503,01/02/15,11206913,5.9,,2699599215
70004503,01/02/15,11206942,13,,2699599215
70004503,01/02/15,11206913,3.9,,2699599215
