WO,StartDate,EndDate,Equipment,Value,FunctionalLocation,OrderType,WBS,Activity,Notification,Priority,Fun.Loc
70004098,12/19/2013,12/19/2013,,11853.2,GC05-15-01180-01-005,S,GC05-14-003-03,R,,,GC05-15
80006409,02/24/2014,02/24/2014,90020269,1088,GC05-25-01420-02-030,R,GC05-14-007-03,R,,,GC05-25
80006417,04/03/14,04/03/14,90020601,20941,GC05-25-01420-00-005,R,GC05-14-007-03,R,,,GC05-25
80006434,03/17/2014,03/17/2014,90020150,1849,GC05-15-01270-01-035,R,GC05-14-004-03,R,,,GC05-15
80006455,01/04/14,01/04/14,90020213,15001.7,GC05-20-01690-01-015,R,GC05-14-006-03,R,,,GC05-20
80006472,09/04/14,09/04/14,90020584,2800,GC05-40-03810-01-130,R,GC05-14-021-03,R,,,GC05-40
80006490,05/13/2014,05/13/2014,90020342,7782.5,GC05-25-01690-02-005,R,GC05-14-008-03,R,,,GC05-25
80006501,05/21/2014,05/21/2014,90020213,908,GC05-20-01690-01-015,R,GC05-14-006-03,R,,,GC05-20
80006513,04/06/14,04/06/14,90020215,6420.6,GC05-20-01690-01-015,R,GC05-14-006-03,R,,,GC05-20
80006515,04/06/14,04/06/14,90020206,41712.2,GC05-20-01330-01-050,R,GC05-14-005-03,R,,,GC05-20
80006517,04/06/14,04/06/14,90020061,3998,GC05-10-01690-01-020,R,GC05-14-002-03,R,,,GC05-10
80006518,04/06/14,04/06/14,90020056,4837,GC05-10-01690-01-015,R,GC05-14-002-03,R,,,GC05-10
80006520,05/06/14,05/06/14,90020192,257237.8,GC05-20-01330-01-045,R,GC05-14-904-02,J,,,GC05-20
80006521,12/06/14,12/06/14,21859,17728.9,GC05-25-01420-00-015,R,GC05-14-007-03,R,,,GC05-25
80006522,06/13/2014,06/13/2014,90020084,0,GC05-25-01420-00-010,R,GC05-14-007-03,R,,,GC05-25
80006523,06/13/2014,06/13/2014,90020487,5344.3,GC05-35-02600-01-900,R,GC05-14-013-03,R,,,GC05-35
80006525,06/17/2014,06/17/2014,90020132,8170,GC05-15-01180-01-030,R,GC05-14-003-03,R,,,GC05-15
80006526,06/17/2014,06/17/2014,90020105,5500,GC05-15-01180-01-030,R,GC05-14-003-03,R,,,GC05-15
80006528,06/23/2014,06/23/2014,90020173,3439.3,GC05-20-01330-01-005,R,GC05-14-005-03,R,,,GC05-20
80006529,06/23/2014,06/23/2014,90020058,4744,GC05-10-01690-01-020,R,GC05-14-002-03,R,,,GC05-10
80006549,08/07/14,08/07/14,90020342,2120,GC05-25-01690-02-005,R,GC05-14-008-03,R,,,GC05-25
